 , SIZE, TRAVELS, WAITS, CP, CD

CFG 1

RUN 1
 , 1, 1663, 0, 0, 0
 , 5, 10656, 0, 24, 0
 , 2, 2238, 0, 8, 0
 , 2, 1820, 0, 14, 0
 , 5, 11000, 0, 26, 0
 , 5, 10641, 0, 26, 0
 , 2, 1939, 1, 18, 0
 , 3, 2583, 6, 22, 0
 , 5, 11816, 1, 22, 0
 , 5, 9067, 0, 26, 0
 , 2, 2052, 3, 10, 0
 , 4, 3395, 2, 26, 0
 , 5, 11395, 2, 16, 0
 , 5, 10987, 5, 18, 0
 , 5, 11494, 0, 22, 0
 , 2, 1811, 3, 18, 0
 , 5, 9658, 2, 22, 0
 , 4, 4120, 5, 22, 0
 , 3, 2701, 5, 22, 0
 , 1, 1513, 4, 0, 0

RUN 2
 , 5, 14621, 0, 28, 0
 , 4, 5557, 0, 16, 0
 , 3, 3283, 0, 14, 0
 , 3, 2948, 1, 18, 0
 , 4, 4957, 4, 30, 0
 , 1, 2304, 1, 0, 0
 , 1, 2210, 3, 0, 0
 , 1, 2115, 1, 0, 0
 , 3, 3426, 4, 18, 0
 , 2, 2451, 6, 10, 0
 , 5, 16304, 0, 20, 0
 , 3, 3203, 3, 26, 0
 , 5, 14961, 2, 24, 0
 , 4, 5045, 2, 16, 0
 , 4, 5406, 5, 26, 0
 , 5, 13288, 2, 22, 0
 , 2, 2440, 7, 16, 0
 , 3, 3251, 4, 14, 0
 , 4, 5311, 1, 22, 0
 , 2, 2374, 6, 14, 0

RUN 3
 , 4, 4221, 0, 20, 0
 , 5, 9397, 0, 18, 0
 , 4, 4168, 0, 16, 0
 , 5, 11602, 0, 20, 0
 , 3, 2795, 1, 14, 0
 , 3, 2066, 1, 26, 0
 , 3, 2230, 0, 24, 0
 , 4, 3701, 1, 28, 0
 , 5, 11104, 0, 18, 0
 , 1, 1539, 2, 0, 0
 , 4, 3820, 0, 24, 0
 , 5, 9236, 0, 26, 0
 , 5, 10177, 1, 26, 0
 , 5, 9402, 2, 26, 0
 , 1, 1632, 0, 0, 0
 , 5, 10825, 0, 22, 0
 , 4, 3850, 4, 22, 0
 , 5, 10071, 1, 28, 0
 , 1, 1599, 2, 0, 0
 , 5, 10580, 0, 22, 0

RUN 4
 , 5, 16414, 0, 24, 0
 , 1, 2542, 0, 0, 0
 , 1, 2320, 2, 0, 0
 , 2, 2815, 1, 16, 0
 , 3, 4205, 1, 18, 0
 , 2, 2425, 0, 8, 0
 , 3, 3976, 0, 14, 0
 , 4, 5650, 2, 28, 0
 , 4, 5640, 1, 26, 0
 , 5, 16019, 2, 36, 0
 , 1, 2128, 0, 0, 0
 , 3, 3619, 9, 14, 0
 , 5, 17714, 0, 24, 0
 , 5, 18662, 0, 22, 0
 , 1, 2476, 5, 0, 0
 , 1, 2711, 2, 0, 0
 , 1, 2427, 6, 0, 0
 , 2, 2826, 6, 10, 0
 , 4, 6092, 2, 22, 0
 , 3, 4103, 6, 18, 0

RUN 5
 , 3, 3771, 0, 26, 0
 , 2, 2727, 0, 14, 0
 , 5, 15012, 0, 26, 0
 , 4, 5790, 0, 30, 0
 , 3, 3545, 2, 24, 0
 , 2, 2965, 1, 18, 0
 , 4, 5779, 2, 20, 0
 , 1, 2247, 1, 0, 0
 , 2, 2755, 3, 12, 0
 , 1, 2699, 1, 0, 0
 , 1, 2569, 7, 0, 0
 , 2, 2727, 5, 14, 0
 , 5, 15557, 0, 26, 0
 , 4, 6155, 1, 28, 0
 , 1, 2648, 5, 0, 0
 , 3, 3557, 5, 24, 0
 , 5, 15036, 1, 30, 0
 , 4, 5716, 2, 30, 0
 , 2, 2972, 3, 12, 0
 , 3, 3512, 3, 24, 0

RUN 6
 , 5, 13661, 0, 22, 0
 , 1, 1962, 0, 0, 0
 , 5, 12535, 0, 22, 0
 , 1, 1816, 0, 0, 0
 , 1, 1999, 1, 0, 0
 , 2, 2159, 0, 14, 0
 , 1, 2127, 0, 0, 0
 , 1, 1913, 2, 0, 0
 , 3, 2995, 1, 14, 0
 , 2, 2231, 1, 16, 0
 , 5, 12880, 0, 20, 0
 , 5, 12243, 0, 28, 0
 , 2, 2162, 2, 12, 0
 , 3, 3281, 1, 14, 0
 , 4, 4865, 2, 20, 0
 , 3, 3240, 2, 18, 0
 , 3, 2953, 2, 22, 0
 , 1, 2161, 5, 0, 0
 , 3, 2993, 5, 14, 0
 , 4, 4820, 0, 26, 0

RUN 7
 , 4, 5783, 0, 16, 0
 , 3, 3567, 0, 16, 0
 , 3, 3675, 0, 18, 0
 , 1, 2235, 0, 0, 0
 , 5, 12788, 0, 30, 0
 , 5, 14336, 0, 26, 0
 , 4, 6095, 1, 20, 0
 , 2, 2435, 1, 12, 0
 , 2, 3233, 1, 10, 0
 , 4, 5604, 0, 26, 0
 , 5, 13974, 0, 26, 0
 , 1, 2311, 0, 0, 0
 , 3, 3622, 0, 22, 0
 , 5, 15602, 0, 28, 0
 , 4, 6068, 2, 26, 0
 , 3, 3729, 3, 16, 0
 , 1, 2279, 1, 0, 0
 , 4, 5462, 2, 26, 0
 , 1, 2361, 4, 0, 0
 , 5, 16392, 0, 18, 0

RUN 8
 , 3, 2561, 0, 20, 0
 , 4, 4426, 1, 22, 0
 , 2, 2326, 1, 14, 0
 , 1, 1718, 1, 0, 0
 , 4, 4418, 0, 22, 0
 , 1, 1820, 2, 0, 0
 , 3, 2566, 6, 24, 0
 , 2, 2184, 8, 12, 0
 , 1, 1888, 6, 0, 0
 , 4, 5020, 0, 18, 0
 , 2, 2061, 5, 16, 0
 , 5, 12992, 0, 14, 0
 , 2, 2085, 6, 10, 0
 , 4, 4725, 3, 16, 0
 , 4, 3763, 3, 16, 0
 , 4, 4837, 2, 26, 0
 , 2, 2153, 9, 18, 0
 , 2, 2027, 4, 18, 0
 , 3, 2877, 9, 20, 0
 , 5, 10097, 0, 26, 0

RUN 9
 , 3, 2932, 0, 18, 0
 , 4, 5133, 0, 20, 0
 , 3, 2969, 0, 22, 0
 , 4, 4674, 0, 20, 0
 , 1, 2404, 0, 0, 0
 , 3, 2994, 1, 22, 0
 , 3, 3355, 1, 20, 0
 , 4, 5500, 1, 20, 0
 , 4, 6143, 1, 14, 0
 , 1, 1935, 2, 0, 0
 , 4, 5851, 5, 14, 0
 , 3, 3444, 7, 18, 0
 , 1, 2397, 9, 0, 0
 , 4, 4631, 1, 24, 0
 , 3, 3200, 2, 22, 0
 , 5, 14080, 0, 16, 0
 , 4, 5562, 6, 20, 0
