 , SIZE, TRAVELS, WAITS, CP, CD

CFG 4

RUN 1
 , 2, 2315, 0, 10, 0
 , 3, 3137, 1, 18, 0
 , 1, 1885, 0, 0, 0
 , 1, 2055, 5, 0, 0
 , 3, 3154, 0, 14, 0
 , 4, 4173, 1, 26, 0
 , 2, 1949, 4, 16, 0
 , 2, 2030, 1, 16, 0
 , 1, 1938, 1, 0, 0
 , 2, 2247, 1, 14, 0
 , 1, 2137, 5, 0, 0
 , 1, 1976, 11, 0, 0
 , 3, 3353, 8, 22, 0
 , 4, 4364, 3, 18, 0
 , 5, 11806, 0, 30, 0
 , 4, 5301, 5, 16, 0
 , 4, 4562, 3, 22, 0
 , 1, 1820, 11, 0, 0
 , 1, 1887, 2, 0, 0
 , 3, 3026, 4, 20, 0
 , 5, 12203, 0, 26, 0
 , 1, 2317, 11, 0, 0
 , 2, 2168, 9, 8, 0
 , 2, 2027, 18, 10, 0
 , 1, 1769, 12, 0, 0
 , 2, 2032, 19, 20, 0
 , 3, 2615, 15, 22, 0
 , 4, 3831, 20, 24, 0
 , 4, 3754, 6, 20, 0
 , 5, 12561, 0, 22, 0
 , 3, 3302, 14, 14, 0
 , 1, 1810, 16, 0, 0
 , 5, 12300, 4, 22, 0
 , 5, 12394, 2, 26, 0
 , 3, 2946, 9, 16, 0
 , 2, 2312, 21, 12, 0
 , 3, 2840, 27, 22, 0
 , 2, 2226, 29, 16, 0
 , 3, 2698, 20, 20, 0
 , 4, 4717, 14, 20, 0
 , 5, 14005, 7, 20, 0
 , 5, 12098, 8, 28, 0
 , 2, 2373, 28, 18, 0
 , 3, 3344, 27, 10, 0
 , 5, 12085, 4, 28, 0
 , 2, 2303, 14, 14, 0
 , 5, 12240, 13, 24, 0
 , 1, 2105, 19, 0, 0
 , 1, 2088, 23, 0, 0
 , 3, 3441, 21, 26, 0

RUN 2
 , 5, 8327, 0, 16, 0
 , 5, 8713, 0, 32, 0
 , 1, 1342, 0, 0, 0
 , 3, 1765, 0, 26, 0
 , 5, 9245, 0, 22, 0
 , 2, 1466, 0, 20, 0
 , 4, 2887, 0, 22, 0
 , 3, 2042, 0, 18, 0
 , 4, 3301, 0, 22, 0
 , 3, 2129, 0, 16, 0
 , 1, 1389, 0, 0, 0
 , 4, 3187, 1, 22, 0
 , 3, 1973, 0, 18, 0
 , 2, 1648, 0, 10, 0
 , 2, 1722, 1, 16, 0
 , 4, 2834, 1, 20, 0
 , 2, 1700, 1, 12, 0
 , 4, 3657, 0, 18, 0
 , 4, 3311, 0, 18, 0
 , 5, 9595, 0, 22, 0
 , 2, 1714, 1, 16, 0
 , 2, 1643, 2, 8, 0
 , 2, 1540, 1, 18, 0
 , 3, 2022, 1, 18, 0
 , 2, 1608, 4, 16, 0
 , 1, 1230, 0, 0, 0
 , 4, 3424, 1, 22, 0
 , 5, 9015, 0, 18, 0
 , 4, 3374, 3, 18, 0
 , 1, 1350, 1, 0, 0
 , 2, 1692, 4, 18, 0
 , 5, 8068, 1, 22, 0
 , 4, 2880, 1, 28, 0
 , 4, 3223, 4, 22, 0
 , 1, 1431, 0, 0, 0
 , 2, 1589, 1, 20, 0
 , 5, 8504, 0, 28, 0
 , 2, 1705, 5, 12, 0
 , 2, 1543, 1, 20, 0
 , 1, 1409, 0, 0, 0
 , 3, 2077, 2, 20, 0
 , 5, 8955, 0, 24, 0
 , 2, 1563, 5, 12, 0
 , 4, 3190, 5, 18, 0
 , 2, 1671, 3, 14, 0
 , 1, 1379, 5, 0, 0
 , 1, 1552, 5, 0, 0
 , 5, 8548, 3, 22, 0
 , 3, 2124, 7, 18, 0
 , 1, 1561, 8, 0, 0

RUN 3
 , 4, 5541, 0, 26, 0
 , 1, 2449, 0, 0, 0
 , 5, 16232, 0, 26, 0
 , 1, 2574, 0, 0, 0
 , 3, 3844, 0, 18, 0
 , 2, 2721, 0, 12, 0
 , 2, 2870, 4, 14, 0
 , 5, 15844, 0, 24, 0
 , 3, 3665, 1, 26, 0
 , 2, 2560, 0, 16, 0
 , 1, 2364, 0, 0, 0
 , 4, 5905, 0, 22, 0
 , 1, 2205, 1, 0, 0
 , 3, 4057, 0, 12, 0
 , 4, 6519, 1, 16, 0
 , 1, 2344, 2, 0, 0
 , 2, 2727, 2, 14, 0
 , 2, 2741, 0, 20, 0
 , 2, 2792, 3, 14, 0
 , 2, 2884, 3, 10, 0
 , 3, 3791, 4, 22, 0
 , 2, 2560, 2, 12, 0
 , 4, 6128, 2, 20, 0
 , 5, 15014, 1, 22, 0
 , 1, 2616, 0, 0, 0
 , 2, 2629, 9, 16, 0
 , 1, 2780, 3, 0, 0
 , 3, 3421, 3, 20, 0
 , 3, 4086, 2, 8, 0
 , 4, 4895, 2, 28, 0
 , 1, 2503, 11, 0, 0
 , 2, 2764, 9, 16, 0
 , 3, 3736, 5, 16, 0
 , 5, 16749, 2, 28, 0
 , 5, 16771, 1, 22, 0
 , 1, 2378, 7, 0, 0
 , 4, 6390, 5, 16, 0
 , 1, 2456, 5, 0, 0
 , 3, 3746, 4, 22, 0
 , 2, 2803, 12, 8, 0
 , 5, 15034, 1, 26, 0
 , 3, 3454, 5, 24, 0
 , 3, 3530, 3, 20, 0
 , 3, 3590, 3, 18, 0
 , 4, 6225, 8, 16, 0
 , 4, 5693, 5, 22, 0
 , 2, 2982, 5, 16, 0
 , 2, 2852, 13, 12, 0
 , 3, 3714, 13, 22, 0
 , 3, 3494, 18, 20, 0

RUN 4
 , 2, 2457, 0, 20, 0
 , 3, 3130, 0, 18, 0
 , 3, 3796, 0, 14, 0
 , 4, 6111, 0, 14, 0
 , 1, 2137, 0, 0, 0
 , 1, 2109, 0, 0, 0
 , 3, 3664, 1, 14, 0
 , 1, 2154, 3, 0, 0
 , 1, 2261, 3, 0, 0
 , 5, 14978, 0, 22, 0
 , 4, 5591, 1, 18, 0
 , 3, 3229, 1, 24, 0
 , 5, 14117, 1, 26, 0
 , 4, 6357, 0, 22, 0
 , 2, 2563, 1, 14, 0
 , 3, 3132, 2, 26, 0
 , 3, 3179, 3, 18, 0
 , 3, 3776, 1, 16, 0
 , 2, 2506, 4, 10, 0
 , 5, 12460, 0, 30, 0
 , 4, 5837, 4, 16, 0
 , 3, 2823, 5, 26, 0
 , 4, 5811, 3, 20, 0
 , 1, 2257, 8, 0, 0
 , 3, 3535, 8, 18, 0
 , 5, 14575, 0, 22, 0
 , 4, 5955, 3, 24, 0
 , 1, 2196, 6, 0, 0
 , 3, 3541, 1, 20, 0
 , 2, 3011, 3, 12, 0
 , 4, 5508, 1, 26, 0
 , 1, 2125, 13, 0, 0
 , 4, 5490, 6, 32, 0
 , 3, 3669, 4, 16, 0
 , 3, 3580, 3, 18, 0
 , 4, 5242, 6, 22, 0
 , 4, 5540, 9, 26, 0
 , 2, 2772, 2, 16, 0
 , 5, 14990, 5, 30, 0
 , 3, 3279, 13, 18, 0
 , 3, 3607, 9, 20, 0
 , 1, 2163, 8, 0, 0
 , 5, 16608, 1, 22, 0
 , 1, 2134, 11, 0, 0
 , 5, 12973, 2, 22, 0
 , 3, 3486, 5, 20, 0
 , 3, 3428, 5, 26, 0
 , 3, 3354, 8, 18, 0
 , 3, 3450, 7, 18, 0
 , 5, 15832, 2, 24, 0

RUN 5
 , 3, 2273, 0, 16, 0
 , 3, 2254, 0, 20, 0
 , 2, 1695, 1, 12, 0
 , 4, 3565, 0, 24, 0
 , 1, 1454, 0, 0, 0
 , 3, 2297, 0, 22, 0
 , 3, 2014, 0, 14, 0
 , 4, 3217, 0, 16, 0
 , 5, 9140, 0, 24, 0
 , 5, 10629, 0, 16, 0
 , 1, 1458, 1, 0, 0
 , 5, 9880, 0, 28, 0
 , 1, 1414, 0, 0, 0
 , 5, 10879, 0, 18, 0
 , 2, 1838, 1, 16, 0
 , 4, 3397, 0, 20, 0
 , 3, 2074, 0, 18, 0
 , 1, 1482, 0, 0, 0
 , 4, 3549, 0, 20, 0
 , 5, 9025, 0, 24, 0
 , 2, 1441, 2, 12, 0
 , 1, 1504, 2, 0, 0
 , 1, 1441, 1, 0, 0
 , 5, 9002, 0, 28, 0
 , 4, 3328, 0, 22, 0
 , 2, 1446, 0, 12, 0
 , 2, 1499, 1, 12, 0
 , 3, 2047, 1, 16, 0
 , 3, 1926, 1, 20, 0
 , 2, 1599, 1, 16, 0
 , 3, 1948, 1, 22, 0
 , 4, 2547, 2, 24, 0
 , 3, 2162, 0, 20, 0
 , 5, 10467, 2, 22, 0
 , 1, 1297, 4, 0, 0
 , 2, 1593, 1, 18, 0
 , 2, 1670, 5, 8, 0
 , 2, 1561, 7, 16, 0
 , 5, 10266, 0, 24, 0
 , 2, 1916, 5, 8, 0
 , 1, 1653, 7, 0, 0
 , 1, 1555, 5, 0, 0
 , 4, 3272, 0, 12, 0
 , 5, 10430, 1, 18, 0
 , 2, 1669, 9, 12, 0
 , 5, 9735, 2, 24, 0
 , 1, 1320, 4, 0, 0
 , 1, 1638, 11, 0, 0
 , 5, 9512, 0, 18, 0
 , 5, 10368, 1, 32, 0

RUN 6
 , 3, 2378, 0, 14, 0
 , 5, 10065, 0, 20, 0
 , 1, 1638, 0, 0, 0
 , 5, 10666, 0, 20, 0
 , 4, 3507, 0, 22, 0
 , 4, 3556, 0, 24, 0
 , 2, 1543, 0, 18, 0
 , 2, 1904, 1, 4, 0
 , 1, 1591, 2, 0, 0
 , 5, 10667, 0, 18, 0
 , 4, 3761, 0, 18, 0
 , 4, 4417, 0, 18, 0
 , 3, 2392, 1, 14, 0
 , 2, 1714, 1, 18, 0
 , 5, 10464, 0, 18, 0
 , 3, 2215, 2, 18, 0
 , 5, 9917, 0, 26, 0
 , 3, 2764, 0, 16, 0
 , 5, 10381, 0, 22, 0
 , 1, 1456, 6, 0, 0
 , 4, 3208, 2, 34, 0
 , 2, 1694, 0, 16, 0
 , 3, 2176, 7, 18, 0
 , 4, 4401, 1, 18, 0
 , 5, 11056, 1, 16, 0
 , 1, 1521, 6, 0, 0
 , 5, 10427, 0, 22, 0
 , 2, 1666, 3, 14, 0
 , 5, 10514, 3, 24, 0
 , 2, 1677, 9, 18, 0
 , 2, 1779, 6, 12, 0
 , 5, 11170, 0, 22, 0
 , 1, 1551, 2, 0, 0
 , 4, 3197, 5, 28, 0
 , 3, 2788, 11, 14, 0
 , 1, 1856, 8, 0, 0
 , 4, 3646, 2, 22, 0
 , 2, 1823, 9, 10, 0
 , 3, 2671, 11, 16, 0
 , 3, 2408, 4, 22, 0
 , 2, 1581, 13, 18, 0
 , 2, 1687, 10, 12, 0
 , 3, 2326, 6, 18, 0
 , 5, 10419, 3, 14, 0
 , 4, 3459, 10, 24, 0
 , 3, 2064, 14, 28, 0
 , 3, 2608, 20, 16, 0
 , 1, 1609, 21, 0, 0
 , 1, 1474, 24, 0, 0
 , 3, 2138, 15, 20, 0

RUN 7
 , 3, 3333, 0, 24, 0
 , 3, 3976, 0, 14, 0
 , 4, 5471, 0, 24, 0
 , 4, 5002, 0, 30, 0
 , 2, 2582, 1, 18, 0
 , 4, 5710, 0, 22, 0
 , 3, 3487, 0, 24, 0
 , 4, 5541, 0, 24, 0
 , 3, 3300, 3, 22, 0
 , 5, 15488, 0, 26, 0
 , 1, 2286, 8, 0, 0
 , 1, 2292, 3, 0, 0
 , 4, 5645, 0, 20, 0
 , 3, 3473, 3, 26, 0
 , 4, 5782, 0, 22, 0
 , 2, 2645, 5, 16, 0
 , 2, 2755, 5, 20, 0
 , 3, 3754, 3, 26, 0
 , 3, 3718, 10, 18, 0
 , 3, 3255, 1, 14, 0
 , 1, 2232, 4, 0, 0
 , 1, 2534, 9, 0, 0
 , 5, 14191, 2, 30, 0
 , 4, 6153, 10, 12, 0
 , 1, 2417, 8, 0, 0
 , 3, 3577, 5, 20, 0
 , 5, 17034, 1, 22, 0
 , 3, 3577, 8, 18, 0
 , 4, 5857, 1, 22, 0
 , 4, 6328, 8, 22, 0
 , 2, 2863, 5, 10, 0
 , 2, 2828, 1, 18, 0
 , 1, 2380, 17, 0, 0
 , 2, 2714, 2, 10, 0
 , 1, 2335, 11, 0, 0
 , 1, 2119, 11, 0, 0
 , 5, 15622, 3, 24, 0
 , 4, 5765, 5, 20, 0
 , 1, 2541, 7, 0, 0
 , 4, 6273, 6, 24, 0
 , 1, 2547, 7, 0, 0
 , 1, 2554, 25, 0, 0
 , 4, 5922, 10, 18, 0
 , 4, 5539, 5, 22, 0
 , 3, 3728, 27, 16, 0
 , 4, 5458, 5, 16, 0
 , 3, 3527, 19, 18, 0
 , 5, 18090, 9, 24, 0
 , 4, 6196, 27, 22, 0
 , 3, 3614, 12, 16, 0

RUN 8
 , 5, 11421, 0, 20, 0
 , 1, 1663, 0, 0, 0
 , 1, 1703, 0, 0, 0
 , 3, 2681, 0, 18, 0
 , 5, 10806, 0, 24, 0
 , 4, 4200, 0, 22, 0
 , 4, 3998, 0, 16, 0
 , 3, 2901, 0, 16, 0
 , 1, 1696, 1, 0, 0
 , 5, 11714, 0, 20, 0
 , 5, 11180, 0, 32, 0
 , 4, 3983, 0, 28, 0
 , 2, 2127, 1, 10, 0
 , 4, 4375, 1, 22, 0
 , 5, 12365, 0, 24, 0
 , 1, 1560, 5, 0, 0
 , 2, 2138, 2, 14, 0
 , 2, 2115, 3, 8, 0
 , 4, 4383, 2, 20, 0
 , 3, 2884, 1, 20, 0
 , 5, 10404, 0, 22, 0
 , 2, 2155, 1, 14, 0
 , 1, 1805, 6, 0, 0
 , 3, 2834, 4, 16, 0
 , 5, 11339, 1, 24, 0
 , 5, 12017, 0, 22, 0
 , 2, 2084, 1, 12, 0
 , 4, 4196, 3, 20, 0
 , 3, 2600, 2, 12, 0
 , 5, 9375, 7, 24, 0
 , 3, 2840, 2, 16, 0
 , 5, 9573, 0, 32, 0
 , 3, 2887, 6, 12, 0
 , 1, 1976, 8, 0, 0
 , 5, 12629, 0, 28, 0
 , 1, 1914, 9, 0, 0
 , 5, 11276, 0, 22, 0
 , 3, 2793, 2, 24, 0
 , 4, 4550, 3, 24, 0
 , 4, 4470, 3, 22, 0
 , 4, 3481, 14, 28, 0
 , 1, 1631, 7, 0, 0
 , 5, 12292, 1, 18, 0
 , 3, 2811, 6, 20, 0
 , 1, 1824, 16, 0, 0
 , 4, 4517, 16, 22, 0
 , 5, 12620, 0, 20, 0
 , 3, 2687, 9, 22, 0
 , 1, 1956, 27, 0, 0
 , 1, 1910, 13, 0, 0

RUN 9
 , 4, 6254, 0, 22, 0
 , 2, 3118, 0, 16, 0
 , 3, 4417, 0, 20, 0
 , 2, 3348, 0, 18, 0
 , 5, 13735, 1, 36, 0
 , 5, 18801, 0, 28, 0
 , 2, 3037, 1, 16, 0
 , 4, 6927, 0, 22, 0
 , 3, 3826, 0, 16, 0
 , 5, 18754, 0, 20, 0
 , 4, 6915, 2, 10, 0
 , 3, 3974, 0, 20, 0
 , 5, 15579, 0, 28, 0
 , 3, 3712, 0, 14, 0
 , 2, 2941, 4, 18, 0
 , 1, 2722, 0, 0, 0
 , 1, 2804, 2, 0, 0
 , 2, 2923, 1, 18, 0
 , 2, 3135, 1, 16, 0
 , 3, 4041, 5, 14, 0
 , 2, 3048, 0, 18, 0
 , 1, 2680, 0, 0, 0
 , 5, 18294, 0, 22, 0
 , 1, 2931, 5, 0, 0
 , 2, 2775, 1, 20, 0
 , 5, 19252, 0, 26, 0
 , 3, 3903, 2, 16, 0
 , 5, 16670, 1, 30, 0
 , 5, 19142, 0, 20, 0
 , 2, 2874, 4, 14, 0
 , 1, 2740, 6, 0, 0
 , 1, 2611, 7, 0, 0
 , 2, 3048, 8, 16, 0
 , 3, 4136, 4, 18, 0
 , 5, 19088, 0, 22, 0
 , 1, 2592, 4, 0, 0
 , 5, 17470, 1, 32, 0
 , 5, 20199, 4, 10, 0
 , 5, 16451, 0, 24, 0
 , 4, 6040, 4, 22, 0
 , 1, 2687, 5, 0, 0
 , 5, 18175, 2, 20, 0
 , 2, 3071, 8, 8, 0
 , 2, 3393, 7, 12, 0
 , 5, 17347, 1, 24, 0
 , 2, 3103, 10, 8, 0
 , 3, 3823, 3, 22, 0
 , 1, 2552, 5, 0, 0
 , 1, 2982, 12, 0, 0
 , 5, 18118, 1, 20, 0

RUN 10
 , 4, 5879, 0, 18, 0
 , 4, 5664, 0, 26, 0
 , 2, 2375, 1, 18, 0
 , 3, 3371, 2, 16, 0
 , 2, 2830, 2, 16, 0
 , 1, 2268, 2, 0, 0
 , 4, 5454, 0, 22, 0
 , 1, 2469, 4, 0, 0
 , 1, 2305, 3, 0, 0
 , 3, 3151, 2, 26, 0
 , 5, 14026, 1, 32, 0
 , 4, 6077, 5, 18, 0
 , 1, 2507, 4, 0, 0
 , 3, 3449, 4, 16, 0
 , 1, 2434, 7, 0, 0
 , 5, 14256, 3, 30, 0
 , 3, 3122, 6, 20, 0
 , 1, 2456, 9, 0, 0
 , 1, 2213, 15, 0, 0
 , 4, 5527, 7, 22, 0
 , 4, 5345, 6, 26, 0
 , 1, 2360, 15, 0, 0
 , 5, 15545, 5, 10, 0
 , 2, 2765, 17, 12, 0
 , 1, 2431, 7, 0, 0
 , 4, 6047, 5, 18, 0
 , 4, 5942, 6, 18, 0
 , 4, 5766, 7, 20, 0
 , 3, 3910, 10, 22, 0
 , 2, 2861, 13, 14, 0
 , 5, 12601, 5, 24, 0
 , 4, 5296, 7, 20, 0
 , 1, 2293, 9, 0, 0
 , 5, 15166, 1, 26, 0
 , 2, 2743, 19, 14, 0
 , 4, 4987, 13, 24, 0
 , 1, 2254, 20, 0, 0
 , 2, 2409, 21, 16, 0
 , 2, 3081, 31, 6, 0
 , 4, 5638, 4, 20, 0
 , 4, 5794, 21, 18, 0
 , 3, 3058, 23, 24, 0
 , 3, 3482, 34, 26, 0
 , 3, 2953, 26, 24, 0
 , 3, 3697, 39, 18, 0
 , 5, 14942, 4, 24, 0
 , 2, 2635, 54, 18, 0
 , 1, 2409, 22, 0, 0
 , 4, 5765, 21, 30, 0
 , 2, 2446, 34, 14, 0
